PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Criminal Case,Education,,
['Chatra', '4', 'GEN', 'Jharkhand', 'Sunil Kumar Singh', 'Bharatiya Janta Party', '1312545', '712971', '54.3 %', '178026', '25.0%', '0', 'Post Graduate',,
['Chennai Central', '4', 'GEN', 'Tamil Nadu', 'S.R. Vijayakumar', 'All India Anna Dravida Munnetra Kazhagam', '1328027', '814894', '61.4 %', '45841', '5.6%', '0', 'Graduate Professional',,
['Chennai North', '2', 'GEN', 'Tamil Nadu', 'Venkatesh Babu .T.G', 'All India Anna Dravida Munnetra Kazhagam', '1422386', '910114', '64.0 %', '99704', '11.0%', '0', 'Post Graduate',,
['Chennai South', '3', 'GEN', 'Tamil Nadu', 'Dr. J. Jayavardhan', 'All India Anna Dravida Munnetra Kazhagam', '1795780', '1081163', '60.2 %', '136625', '12.6%', '0', 'Graduate Professional',100']],
['Chhindwara', '16', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Kamal Nath', 'Indian National Congress', '1401277', '1107498', '79.0 %', '116537', '10.5%', '0', 'Graduate',72,087']]
['Chhota Udaipur', '21', 'ST', 'Gujarat', 'Ramsinh Rathwa', 'Bharatiya Janta Party', '1536305', '1100542', '71.6 %', '179729', '16.3%', '0', 'Post Graduate',,
['Chidambaram', '27', 'SC', 'Tamil Nadu', 'Chandrakasi M', 'All India Anna Dravida Munnetra Kazhagam', '1366189', '1088423', '79.7 %', '128495', '11.8%', '0', 'Graduate',,
['Chikkodi', '1', 'GEN', 'Karnataka', 'Prakash Babanna Hukkeri', 'Indian National Congress', '1442296', '1071103', '74.3 %', '3003', '0.3%', '0', '12th Pass',,
['Chitradurga', '18', 'SC', 'Karnataka', 'B.N.Chandrappa', 'Indian National Congress', '1661272', '1096499', '66.0 %', '101291', '9.2%', '0', 'Post Graduate',000']],
['Chittoor', '42', 'SC', 'Andhra Pradesh [2014 Onwards]', 'Naramalli Sivaprasad', 'Telugu Desam', '1452141', '1198915', '82.6 %', '44138', '3.7%', '0', 'Graduate Professional',,
['Chittorgarh', '21', 'GEN', 'Rajasthan', 'Chandra Prakash Joshi', 'Bharatiya Janta Party', '1818147', '1172629', '64.5 %', '316857', '27.0%', '0', 'Graduate',,
['Churu', '3', 'GEN', 'Rajasthan', 'Rahul Kaswan', 'Bharatiya Janta Party', '1753825', '1131104', '64.5 %', '294739', '26.1%', '0', 'Graduate',,
['Coimbatore', '20', 'GEN', 'Tamil Nadu', 'Nagarajan P.', 'All India Anna Dravida Munnetra Kazhagam', '1720211', '1176620', '68.4 %', '42016', '3.6%', 'AIADMK', '0',538']],
['Cuddalore', '26', 'GEN', 'Tamil Nadu', 'Arunmozhithevan.A', 'All India Anna Dravida Munnetra Kazhagam', '1247908', '984538', '78.9 %', '203125', '20.6%', '9', 'Graduate Professional',,
['Cuttack', '14', 'GEN', 'Orissa', 'Bhartruhari Mahatab', 'Biju Janata Dal', '1371617', '978604', '71.4 %', '306762', '31.3%', '0', 'Post Graduate',,
['Dadra And Nagar Haveli', '1', 'GEN', 'Dadra & Nagar Haveli', 'Patel Natubhai Gomanbhai', 'Bharatiya Janta Party', '196617', '165286', '84.1 %', '6214', '3.8%', '5', '5th Pass',836']],
['Dahod', '19', 'ST', 'Gujarat', 'Jasvantsinh Sumanbhai Bhabhor', 'Bharatiya Janta Party', '1411765', '900381', '63.8 %', '230354', '25.6%', '0', 'Graduate Professional',,
['Dakshina Kannada', '17', 'GEN', 'Karnataka', 'Nalin Kumar Kateel', 'Bharatiya Janta Party', '1565281', '1207474', '77.1 %', '143709', '11.9%', '1', '10th Pass',,
['Daman And Diu', '1', 'GEN', 'Daman & Diu', 'Patel Lalubhai Babubhai', 'Bharatiya Janta Party', '111827', '87233', '78.0 %', '9222', '10.6%', '0', '8th Pass',,
['Damoh', '7', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Prahalad Singh Patel', 'Bharatiya Janta Party', '1651106', '912080', '55.2 %', '213299', '23.4%', '0', 'Graduate Professional',302']],
