pc_name,pc_no,pc_type,st_name,year,cand_name,cand_sex,partyname,partyabbre,totvotpoll,electors
Aligarh,25,GEN,Uttar Pradesh,2014,Ashwini,M,Independent,IND,2690,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Sanjai,M,Independent,IND,4600,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Mo. Israr,M,Independent,IND,7098,1110623
Aligarh,25,GEN,Uttar Pradesh,2014,Kamarujjama Fauzi,M,Samajwadi Party,SP,16678,1110623
Alipurduars,25,GEN,Uttar Pradesh,2014,Paras Nath Maurya,M,Bahujan Samaj Party,BSP,33658,1110623
Alipurduars,25,GEN,Uttar Pradesh,2014,Dr.Sanjai Singh,M,Bharatiya Janata Party,BJP,118948,1110623
Alipurduars,25,GEN,Uttar Pradesh,2014,Sonia Gandhi,F,Indian National Congress,INC,418960,1110623
Alipurduars,26,GEN,Uttar Pradesh,2014,Prabhat Kumar,M,Independent,IND,571,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Vasdeo,M,Independent,IND,697,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Ram Ashisa Saroj,M,Independent,IND,1184,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Durga Prasad,M,Independent,IND,1318,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Piyare,M,Independent,IND,1659,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Jai Shankar,M,Independent,IND,2041,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Nand Kumar,M,Independent,IND,2287,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Damodar,M,Ajeya Bharat Party,AJBP,2748,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Vinod Kumar,M,Bharatiya Republican Paksha,BRPP,6514,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Jalil Ahmad,M,National Loktantrik Party,NLP,10311,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Algoo Ram,M,Apna Dal,AD,12718,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Chandra Bhushan,M,Independent,IND,23929,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Deepa Kaul,F,Indian National Congress,INC,82385,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Pawan Kumar Pandey,M,Independent,IND,129525,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Ram Lakhan Verma,M,Samajwadi Party,SP,158959,1220728
Alipurduars,26,GEN,Uttar Pradesh,2014,Jai Bhadra Singh,M,Bahujan Samaj Party,BSP,173558,1220728
