Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
2233,Ghulam Mohammad Mir,BARAMULLA,BJP,0,Graduate Professional,"Rs 1,61,00,000","Rs 13,80,000"
2234,Ghulam Mohammed,BAGHPAT,SP,0,Post Graduate,"Rs 2,21,08,104","Rs 56,78,445"
2235,Ghulam Nabi Azad,UDHAMPUR,INC,0,Post Graduate,"Rs 4,13,89,590",Rs 0
2236,Ghulam Raza,LADAKH,IND,0,Graduate,"Rs 1,23,766",Rs 0
2237,Ghunnar Prakash Vitthalrao,HINGOLI,IND,0,12th Pass,"Rs 1,05,72,325","Rs 3,00,000"
2238,Ghunnar Prakash Vitthalrao,NANDED,IND,0,12th Pass,"Rs 1,05,72,325","Rs 3,00,000"
2239,Ghuran Ram,PALAMAU,JVM(P),3,Graduate,"Rs 1,45,86,699","Rs 10,46,647"
2240,Gicho Kabak,ARUNACHAL WEST,NCP,0,10th Pass,"Rs 4,00,000",Rs 0
2241,Girdhari,TIKAMGARH,IND,0,12th Pass,"Rs 14,03,342",Rs 0
2242,Girdhari Lal,UDHAMPUR,Bharatiya Bahujan Party,0,Post Graduate,"Rs 2,49,20,000",Rs 0
2243,Giri Ramchandra Vaijnath,PANCHMAHAL,BSP,0,12th Pass,"Rs 21,82,000","Rs 80,000"
2244,Giridhar Gamang,KORAPUT,INC,0,Graduate,"Rs 58,95,460","Rs 25,00,000"
2245,Girija Baksh,AMETHI,IND,0,Post Graduate,"Rs 25,55,620",Rs 0
2246,Girija Kumary,ATTINGAL,BJP,0,12th Pass,"Rs 32,79,941","Rs 1,46,000"
2247,Girindra Nath Barman,COOCHBEHAR,BSP,0,10th Pass,"Rs 1,03,000",Rs 0
2248,Giriraj Singh,NAWADA,BJP,1,Graduate,"Rs 5,00,54,771",Rs 0
2249,Giriraj. D,CHENNAI NORTH,IND,0,5th Pass,"Rs 34,15,000",Rs 0
2250,Girirajan .r,CHENNAI NORTH,DMK,0,Not Given,"Rs 4,67,00,792","Rs 77,33,259"
2251,Girish Chandra,NAGINA,BSP,1,Graduate,"Rs 2,48,39,368","Rs 80,97,654"
2252,Girish Chandra Singh,BARRACKPUR,IND,0,Post Graduate,"Rs 3,17,08,655",Rs 0
2253,Girish Kumar Gautam,REWA,IND,0,Post Graduate,"Rs 3,81,000",Rs 0
2254,Girish Lal,SULTANPUR,Suheldev Bhartiya Samaj Party,0,Post Graduate,"Rs 19,15,000",Rs 0
2255,Girishgouda Channabasanagouda Bistanagoudar,HAVERI,IND,0,Graduate,"Rs 6,555",Rs 0
2256,Girishji Jenaji Dabhi,MAHESANA,Bharatiya National Janta Dal,2,5th Pass,"Rs 23,33,000","Rs 3,00,000"
2257,Girja Shankar @ Raju,UNNAO,Swarajya Party Of India,0,Literate,"Rs 1,98,200",Rs 0
