Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
7538,T. Dhanasekar,CHENNAI SOUTH,National Organisation Congress,0,Graduate Professional,"Rs 30,60,000",Rs 0
7539,T. E. Moses,BANGALORE SOUTH,IND,0,Not Given,"Rs 79,63,850",Rs 0
7540,T. Kuldeep Choudary,ANANTAPUR,Samaikya Telugu Rajyam,0,Graduate Professional,"Rs 9,13,31,000","Rs 6,36,000"
7541,T. L. Santhosh,THRISSUR,IND,6,Not Given,"Rs 75,97,000","Rs 5,30,000"
7542,T. Ponnusamy,CHENNAI SOUTH,IND,0,8th Pass,"Rs 2,47,855",Rs 0
7543,T. Ravikumar,CHENNAI CENTRAL,IND,0,8th Pass,"Rs 1,16,000",Rs 0
7544,T.ayyappan,PONNANI,BSP,0,Post Graduate,"Rs 33,24,000",Rs 0
7545,T.bhavana,CHITRADURGA,IND,0,10th Pass,"Rs 1,00,000",Rs 0
7546,T.bheemsen,SECUNDERABAD,TRS,0,Graduate Professional,"Rs 3,64,54,841","Rs 60,00,000"
7547,T.d. Jagadeesha,HASSAN,IND,0,10th Pass,"Rs 20,000",Rs 0
7548,T.k. Ramajayam,CHENNAI SOUTH,IND,0,Graduate Professional,"Rs 53,12,700",Rs 0
7549,T.k.s.elangovan,CHENNAI SOUTH,DMK,0,Post Graduate,"Rs 2,04,82,886","Rs 6,75,903"
7550,T.k.tomy,IDUKKI,CPI(ML) Red star,0,Others,"Rs 4,04,000",Rs 0
7551,T.n.bharath Nachiappan,MADURAI,INC,0,Post Graduate,"Rs 55,59,753",Rs 0
7552,T.ramachandiran,KALLAKURICHI,IND,0,5th Pass,"Rs 52,095",Rs 0
7553,T.ramasamy,MADURAI,IND,0,5th Pass,"Rs 1,18,530",Rs 0
7554,T.s.chaitanya,BANGALORE NORTH,IND,0,Others,"Rs 12,03,291",Rs 0
7555,T.s.senthilkumar,TIRUPPUR,IND,0,10th Pass,"Rs 1,30,600",Rs 0
7556,T.siddique,KASARAGOD,INC,7,Graduate Professional,"Rs 67,79,637","Rs 18,49,149"
7557,T.sivagnanasambandan,CUDDALORE,IND,0,Post Graduate,"Rs 84,96,700","Rs 30,000"
7558,T.somesh,CHITRADURGA,IND,0,5th Pass,"Rs 54,88,000",Rs 0
7559,Taba Taku,ARUNACHAL WEST,Lok Bharati,0,Graduate,"Rs 62,00,000",Rs 0
7560,Tadas Vilas Krushnaji,WARDHA,IND,0,Graduate,"Rs 31,18,896",Rs 0
7561,Tadivaka Ramesh Naidu,VIZIANAGARAM,Jai Samaikyandhra Party,0,Graduate,"Rs 91,00,000","Rs 27,00,000"
7562,Tagaram Shankar Lal,PEDDAPALLE,BSP,2,Post Graduate,"Rs 6,90,600",Rs 0
7563,Takam Sanjoy,ARUNACHAL WEST,INC,0,Graduate,"Rs 10,59,15,042",Rs 0
7564,Tala Hansda,RAJMAHAL,IND,0,8th Pass,"Rs 17,14,000",Rs 0
7565,Talari Ramulu,NIZAMABAD,BSP,0,12th Pass,"Rs 5,00,000",Rs 0
7566,"Tamilnadu Selvam, Era.",COIMBATORE,BSP,0,5th Pass,"Rs 35,000",Rs 0
7567,"Tamilselvan, K.",COIMBATORE,IND,0,Graduate Professional,"Rs 4,25,000",Rs 0
7568,Tamilselvi.s,THANJAVUR,CPI(M),0,Post Graduate,"Rs 2,21,758",Rs 0
7569,Tamradwaj Sahu,DURG,INC,0,12th Pass,"Rs 2,10,02,226","Rs 17,77,720"
7570,Tanajirao Jagannath Jadhav(chinchanikar),SANGLI,IND,0,Graduate,"Rs 2,03,614","Rs 76,363"
7571,Tandale Ambaji Rao,ZAHIRABAD,IND,0,5th Pass,"Rs 19,25,935","Rs 35,544"
7572,Tanish Orang,LAKHIMPUR,CPI(ML)L,0,8th Pass,"Rs 2,95,642",Rs 0
7573,Tanuku Divakar,VISAKHAPATNAM,IND,0,Post Graduate,"Rs 11,52,000","Rs 7,00,000"
7574,Tanveer Hussain,BARAMULLA,IND,0,Graduate,"Rs 15,50,000","Rs 12,00,000"
7575,Tanveer Hussain Khan,ANANTNAG,IND,0,Graduate Professional,"Rs 2,32,00,000",Rs 0
7576,Tanvir Maqbool Dar,ANANTNAG,AAP,0,Graduate Professional,"Rs 1,68,21,474","Rs 39,59,860"
7577,Tapan Dasgupta,VADODARA,SUCI(C),0,Graduate Professional,"Rs 1,91,809",Rs 0
7578,Tapan Kumar Mahato,PURULIA,JMM,1,8th Pass,"Rs 7,21,575","Rs 50,000"
7579,Tapan Kumar Saha,BOLPUR,INC,0,Graduate,"Rs 47,78,715","Rs 5,76,297"
7580,Tapan Naskar,MATHURAPUR,BJP,0,Graduate,"Rs 9,70,000",Rs 0
7581,Tapan Sikdar,DUM DUM,BJP,0,Graduate,"Rs 59,08,115",Rs 0
7582,Tapas Mandal,RANAGHAT,AITC,0,Doctorate,"Rs 81,69,115","Rs 23,83,416"
7583,Tapas Paul,KRISHNANAGAR,AITC,4,Graduate,"Rs 2,78,29,669",Rs 0
7584,Tapas Sarkar,BARRACKPUR,BSP,0,12th Pass,"Rs 18,610",Rs 0
7585,Tapas Sinha,KANTHI,CPI(M),0,Graduate,"Rs 12,58,846","Rs 6,39,590"
7586,Taphir Husain,BUXAR,Hindustan Vikas Dal,0,5th Pass,"Rs 3,10,000",Rs 0
7587,Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,"Rs 8,23,70,000","Rs 3,00,000"
7588,Tara Singh,RAIGARH,AAP,0,Graduate,"Rs 56,23,449","Rs 3,00,000"
7589,Tara Singh Gill,JALANDHAR,Bahujan Samaj Party (Ambedkar),0,5th Pass,"Rs 7,66,660","Rs 4,00,000"
7590,Taranga Mondal,JAYNAGAR,AIUDF,0,Others,"Rs 29,25,569",Rs 0
7591,Tarani Bhoi,SAMBALPUR,Paschimanchal Vikas Party,0,10th Pass,"Rs 25,87,176","Rs 5,47,876"
7592,Tarani Roy,BISHNUPUR,IND,0,Illiterate,"Rs 99,000",Rs 0
7593,Tarapada Biswas,BANGAON,Amra Bangalee,0,12th Pass,"Rs 1,06,24,418","Rs 5,55,093"
7594,Tarch Murmu,DHANBAD,IND,0,Graduate,"Rs 19,09,310",Rs 0
7595,Tariq Hameed Karra,SRINAGAR,JKPDP,0,Graduate Professional,"Rs 98,45,56,436","Rs 15,00,000"
7596,Tariq Mirza,CHANDNI CHOWK,RPI(A),0,8th Pass,"Rs 1,10,000",Rs 0
7597,Tariq Parvez,FARRUKHABAD,AAP,0,12th Pass,"Rs 11,41,000",Rs 0
7598,Tarkase Pushpa,OSMANABAD,Hindusthan Nirman Dal,0,10th Pass,"Rs 75,000",Rs 0
7599,Tarsem Peter,JALANDHAR,IND,0,Graduate,"Rs 4,01,029",Rs 0
7600,Tarsem Singh Banga,LUDHIANA,IND,2,5th Pass,"Rs 20,18,300","Rs 6,50,000"
7601,Tarun Kumar,JALORE,IND,0,10th Pass,"Rs 2,55,000",Rs 0
7602,Tarun Kumar Das,KARIMGANJ,AAP,0,10th Pass,"Rs 3,91,000",Rs 0
7603,Tarun Mukherjee,KOLKATA UTTAR,Rashtriya Janasachetan Party (R.J.P.),0,Post Graduate,"Rs 3,23,000",Rs 0
7604,Tarunendra Chand Patel,CHANDAULI,INC,0,Post Graduate,"Rs 31,567",Rs 0
7605,Tarzan Jangde,RAIPUR,IND,0,12th Pass,"Rs 5,80,000",Rs 0
7606,Taslim Uddin,ARARIA,RJD,4,Literate,"Rs 4,23,68,468","Rs 10,26,919"
7607,Tate Ashok Santram,BEED,Ambedkarist Republican Party,0,12th Pass,"Rs 25,000",Rs 0
7608,Tathagata Roy,KOLKATA DAKSHIN,BJP,1,Graduate Professional,"Rs 2,92,45,368","Rs 34,590"
7609,Tathagata Satpathy,DHENKANAL,BJD,7,Others,"Rs 3,54,34,099",Rs 0
7610,Tatkare Sunil Dattatrey,RAIGAD,NCP,0,Others,"Rs 10,06,43,136","Rs 24,82,602"
7611,Tatkare Sunil Sham,RAIGAD,IND,0,12th Pass,"Rs 7,26,710",Rs 0
7612,Tatyaso Sitaram Tele,BARAMATI,JD(S),1,Literate,"Rs 13,66,907","Rs 5,00,000"
7613,Taviyad Dr. Prabhaben Kishorsinh,DAHOD,INC,0,Post Graduate,"Rs 2,27,78,000",Rs 0
7614,Teaj Singh Saini,MORADABAD,Rashtriya Samanta Dal,0,Illiterate,"Rs 4,80,000",Rs 0
7615,Teekam Kumar Tondre,RAIPUR,IND,0,12th Pass,"Rs 2,15,500",Rs 0
7616,Tej Bahadur,SHRAWASTI,IND,0,8th Pass,"Rs 8,57,392",Rs 0
7617,Tej Bahadur Singh,KHAGARIA,Proutist Sarva Samaj,0,Graduate,"Rs 28,64,479",Rs 0
7618,Tej Bahadur Yadav,BHADOHI,JD(U),0,Graduate Professional,"Rs 54,36,460",Rs 0
7619,Tej Pal Singh,SOUTH DELHI,IND,0,10th Pass,"Rs 27,55,320",Rs 0
7620,Tej Pratap,MAHARAJGANJ,IND,0,10th Pass,"Rs 1,00,46,000",Rs 0
7621,Tej Singh,NAGINA,Ambedkar Samaj Party,0,Graduate,"Rs 3,89,07,469",Rs 0
7622,Tejas Ankush Ghumare,BEED,IND,1,Literate,"Rs 20,000",Rs 0
7623,Tejavath Bellaiah Naik,NALGONDA,AAP,0,Graduate Professional,"Rs 83,20,000","Rs 5,00,000"
7624,Tejpal,KOTA,IND,0,Graduate,"Rs 21,12,136",Rs 0
7625,Tejpal Singh,RAMPUR,IND,0,12th Pass,"Rs 4,77,625",Rs 0
7626,Tek Chand Sonwal,JAIPUR RURAL,Ambedkarite Party of India,0,12th Pass,"Rs 33,96,640",Rs 0
7627,Tek Nath Dhakal,SIKKIM,Sikkim Krantikari Morcha,0,Post Graduate,"Rs 3,76,69,202",Rs 0
7628,Tekumudi Venkata Rao,KAKINADA,Pyramid Party of India,0,Literate,"Rs 15,99,555","Rs 4,28,000"
7629,Tellam Venkata Rao,MAHABUBABAD,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,"Rs 70,87,000","Rs 21,00,000"
7630,Tera Chinnapa Reddy,NALGONDA,TDP,5,Doctorate,"Rs 1,26,98,15,389","Rs 3,43,99,714"
7631,Tetari Devi,SASARAM,CPI(ML)L,0,Literate,"Rs 21,38,858",Rs 0
7632,Tetri Urf Sheela Devi,HAZARIBAGH,BSP,0,10th Pass,"Rs 54,12,000","Rs 3,000"
7633,"Thaddaus Fernandez,",TIRUCHIRAPPALLI,IND,0,Post Graduate,"Rs 58,41,080",Rs 0
7634,Thaddeus Lakra,RANCHI,IND,0,Graduate,"Rs 52,10,000",Rs 0
7635,Thakare Rameshwar (rameshwar) Sundarlal,BHANDARA GONDIYA,SP,0,10th Pass,"Rs 37,00,102","Rs 74,000"
7636,Thakor Babaji Ravaji,BANASKANTHA,IND,0,Graduate,"Rs 1,26,68,381",Rs 0
7637,Thakor Babuji Dhanaji,MAHESANA,IND,1,5th Pass,"Rs 4,45,500",Rs 0
7638,Thakor Baldevji Maganji,MAHESANA,IND,0,5th Pass,"Rs 81,24,000",Rs 0
7639,Thakor Bhupatji Ravaji,BANASKANTHA,IND,0,10th Pass,"Rs 9,27,000",Rs 0
7640,Thakor Chandrasinh Javansinh,GANDHINAGAR,IND,0,8th Pass,"Rs 37,26,000",Rs 0
7641,Thakor Kevalji Nathaji,MAHESANA,BSP,1,Literate,"Rs 50,68,662","Rs 5,57,000"
7642,Thakor Mansangji Punjaji,MAHESANA,Bahujan Mukti Party,4,5th Pass,"Rs 30,63,558","Rs 9,00,000"
7643,Thakor Ravaji Juhaji,GANDHINAGAR,Vishva Hindustani Sangathan,0,Literate,"Rs 34,16,000",Rs 0
7644,Thakor Samaratji Balvantsinh,MAHESANA,IND,0,12th Pass,"Rs 13,47,000",Rs 0
7645,Thakriya Ratilal Vajirbhai,VALSAD,BSP,0,5th Pass,"Rs 13,95,000","Rs 2,39,575"
7646,Thallapalli Srinivas,PEDDAPALLE,IND,1,Post Graduate,"Rs 4,20,000",Rs 0
7647,Thamaraiselvan.r,DHARMAPURI,DMK,0,Not Given,"Rs 1,67,22,502",Rs 0
7648,Thambidurai.m,KARUR,AIADMK,2,Doctorate,"Rs 13,24,57,262","Rs 5,14,81,886"
7649,"Thamilalagan, A.",KARUR,IND,0,Post Graduate,"Rs 2,90,000",Rs 0
7650,Thamilarima S,SIVAGANGA,AAP,0,Graduate,"Rs 4,14,12,999",Rs 0
7651,"Thangadurai, V.",THENI,BSP,1,10th Pass,"Rs 10,30,000",Rs 0
7652,Thangapandian.r,DINDIGUL,IND,3,12th Pass,"Rs 7,00,000",Rs 0
7653,Thangaraj,CHENNAI SOUTH,IND,0,Graduate,"Rs 25,500",Rs 0
7654,Thangaraj V,ERODE,IND,0,5th Pass,Rs 500,Rs 0
7655,Thangasamy. V,NAGAPATTINAM,BSP,0,8th Pass,"Rs 10,500",Rs 0
7656,Thangso Baite,OUTER MANIPUR,INC,0,Post Graduate,"Rs 59,47,000","Rs 8,80,000"
7657,Thanuskodi,VIRUDHUNAGAR,IND,0,Others,"Rs 27,72,100","Rs 5,62,000"
7658,Thennarasu .p,RAMANATHAPURAM,IND,0,Others,"Rs 4,60,000",Rs 0
7659,Thennilapuram Radhakrishnan,PALAKKAD,Welfare Party Of India,0,10th Pass,"Rs 29,94,408","Rs 2,70,000"
7660,Thevendran.t.,TIRUNELVELI,BSP,0,Graduate,"Rs 6,73,797",Rs 0
7661,Thiagarajan .r,RAMANATHAPURAM,IND,0,Graduate Professional,"Rs 8,50,000",Rs 0
7662,Thiagarajan K,SALEM,IND,0,12th Pass,"Rs 8,56,000","Rs 1,00,000"
7663,Thimmappa Uppar,KOPPAL,Bharatiya Dr. B.R.Ambedkar Janta Party,0,10th Pass,"Rs 10,00,423",Rs 0
7664,Thimme Gowda,MYSORE,Sarva Janata Party,0,Literate,"Rs 12,72,000",Rs 0
7665,Thirumaavalavan,CHIDAMBARAM,Viduthalal Chiruthaigal Katchi,3,Post Graduate,"Rs 91,95,241","Rs 16,27,119"
7666,Thirunavukkarasu,CUDDALORE,IND,0,Post Graduate,"Rs 15,000",Rs 0
7667,Thirunavukkarasu. R,MAYILADUTHURAI,IND,0,Post Graduate,"Rs 4,39,25,000",Rs 0
7668,Thirunnavukkarasar .su,RAMANATHAPURAM,INC,1,Post Graduate,"Rs 3,47,48,520","Rs 4,69,666"
7669,"Thirupathy, T.",VELLORE,IND,0,Post Graduate,"Rs 69,34,775",Rs 0
7670,"Thirusangu, A",CHIDAMBARAM,IND,0,5th Pass,"Rs 4,12,000",Rs 0
7671,Thomas Joseph,THIRUVANANTHAPURAM,RPI(A),0,10th Pass,"Rs 78,50,000","Rs 8,72,906"
7672,Thopaiah C,BANGALORE RURAL,BSP,0,5th Pass,"Rs 13,15,000","Rs 2,00,000"
7673,Thorat Anandrao Tukaram,HATKANANGLE,IND,0,Graduate,"Rs 17,40,000",Rs 0
7674,Thorat Dhanraj Vitthal,BEED,Maharashtra Parivartan Sena (T),0,10th Pass,"Rs 7,00,000",Rs 0
7675,Thorat Sunil Uttamrao,MUMBAI NORTH,AIFB,0,Graduate,"Rs 16,18,000",Rs 0
7676,Thota Chandra Sekhar,ELURU,Yuvajana Sramika Rythu Congress Party,0,Doctorate,"Rs 4,34,10,500",Rs 0
7677,Thota Venkata Narasimham,KAKINADA,TDP,0,Graduate,"Rs 1,74,95,976","Rs 1,20,000"
7678,"Thozhar Tamilselvan, P.",PERAMBALUR,United Communist Party of India,0,Literate,"Rs 20,15,076","Rs 1,36,382"
7679,Thulasappa Dasar,BANGALORE SOUTH,IND,0,Post Graduate,"Rs 12,80,000",Rs 0
7680,Thulaseedharan Pallickal,ALAPPUZHA,SDPI,2,12th Pass,"Rs 1,18,200",Rs 0
7681,Thummar Virjibhai Keshavbhai,AMRELI,INC,5,Graduate,"Rs 4,88,34,257","Rs 52,50,474"
7682,Thuppari Narasimha Swamy,WARANGAL,Pyramid Party of India,0,10th Pass,"Rs 4,57,300",Rs 0
7683,Thupstan Chhewang,LADAKH,BJP,0,Graduate Professional,"Rs 1,98,52,701","Rs 80,000"
7684,Tiger Ram Nihor,AMBEDKAR NAGAR,IND,0,8th Pass,"Rs 53,47,882",Rs 0
7685,Tilak Ram,GONDA,IND,0,10th Pass,"Rs 4,43,788","Rs 26,500"
7686,Tilakdhari Prasad Singh,KODARMA,INC,0,Graduate,"Rs 46,66,034",Rs 0
7687,Tiliya Devi,JHANJHARPUR,AAP,1,Literate,"Rs 3,01,462","Rs 25,000"
7688,Timothy.t,MAYILADUTHURAI,IND,0,5th Pass,"Rs 5,42,922",Rs 0
7689,Tirthankar Ray,SREERAMPUR,CPI(M),0,Graduate,"Rs 2,48,091",Rs 0
7690,Tirupathi Rao Karanam,ANAKAPALLE,BSP,1,Graduate Professional,"Rs 61,51,000",Rs 0
7691,Titar Singh,GANGANAGAR,IND,0,Literate,"Rs 41,500",Rs 0
7692,Toruram Meghwal,CHURU,Bahujan Mukti Party,1,Literate,"Rs 8,81,700","Rs 70,000"
7693,Tota Tejeswara Rao,SRIKAKULAM,IND,0,Graduate Professional,"Rs 1,06,000",Rs 0
7694,Tribhuvan Madhukar Padmakar,AURANGABAD,IND,0,12th Pass,"Rs 21,93,000",Rs 0
7695,Trichur Nazeer,KOZHIKODE,IND,0,10th Pass,"Rs 3,62,347",Rs 0
7696,Triloki Ghurahu Yadav,THANE,IND,0,8th Pass,"Rs 8,90,224",Rs 0
7697,Tsering Samphel,LADAKH,INC,0,12th Pass,"Rs 1,21,46,918","Rs 17,36,466"
7698,Tufani,MACHHLISHAHR,SP,0,Graduate,"Rs 2,46,95,404","Rs 2,55,097"
7699,Tufani Nishad,MACHHLISHAHR,INC,0,10th Pass,"Rs 36,58,000",Rs 0
7700,Tukadia G.r.,PORBANDAR,IND,0,Graduate Professional,"Rs 50,30,500",Rs 0
7701,Tukaram Baburao Mane,MUMBAI NORTH EAST,Bahujan Mukti Party,0,Others,"Rs 2,70,41,300","Rs 60,000"
7702,Tukaram Dasu Gangawane,OSMANABAD,IND,0,10th Pass,"Rs 25,80,700","Rs 90,000"
7703,Tula Ram,JHANSI,IND,0,10th Pass,"Rs 2,31,000",Rs 0
7704,Tuleshwar Singh,SURGUJA,AITC,0,Graduate,"Rs 2,60,48,526","Rs 24,83,971"
7705,Tulla Veerender,CHEVELLA,TDP,0,Post Graduate,"Rs 62,39,75,606","Rs 13,25,16,000"
7706,Tulsiram,AMETHI,IND,0,12th Pass,"Rs 14,42,763","Rs 1,98,000"
7707,Tumane Gopal Ajabrao,RAMTEK,IND,0,12th Pass,"Rs 17,500",Rs 0
7708,Tummalapalli Satya Ramakrishna,KAKINADA,Jai Samaikyandhra Party,1,Graduate,"Rs 1,63,22,137","Rs 12,82,773"
7709,Tupsoundarya Sunita Mohan,MUMBAI NORTH EAST,IND,0,12th Pass,"Rs 15,30,000",Rs 0
7710,Tupsundare Balaji Bapurao,OSMANABAD,IND,0,8th Pass,"Rs 1,98,000",Rs 0
7711,Turab Ali,SITAPUR,IND,0,Literate,"Rs 4,33,000",Rs 0
7712,Tushar Jana,MEDINIPUR,SUCI(C),0,12th Pass,"Rs 5,63,400",Rs 0
7713,Tusharbhai Amarsinhbhai Chaudhari,BARDOLI,INC,0,Doctorate,"Rs 6,24,30,584","Rs 4,06,995"
7714,U K Choudhary (munna Bhaiya),BALAGHAT,AAP,0,Post Graduate,"Rs 5,47,42,608","Rs 10,00,000"
7715,Ubale Shrikrushna Champatrao,WARDHA,Ambedkarist Republican Party,1,Graduate Professional,"Rs 9,19,000","Rs 1,10,000"
7716,Uchit Kumar,MUNGER,IND,1,12th Pass,"Rs 1,76,574",Rs 0
7717,Uda Venkateswararao,ELURU,IND,0,Post Graduate,"Rs 13,80,000","Rs 10,00,000"
7718,Udaia Kumar Musuku,GUNTUR,Indian Christian Secular Party,0,Post Graduate,"Rs 44,26,24,916","Rs 9,54,406"
7719,Udaram,PALI,IND,0,8th Pass,"Rs 65,12,500",Rs 0
7720,Udare Minakshi Mahadev,LATUR,IND,0,Graduate,"Rs 5,25,000","Rs 20,000"
7721,Udasi Shivakumar Channabasappa,HAVERI,BJP,0,12th Pass,"Rs 57,66,93,538","Rs 5,44,23,645"
7722,Uday Alies Udayveer,BIJNOR,Bharatiya Momin Front,1,Not Given,"Rs 16,10,000",Rs 0
7723,Uday Kumar Singh,WEST DELHI,Bahujan Mukti Party,0,12th Pass,"Rs 51,44,079","Rs 9,00,000"
7724,Uday Narain Choudhary,JAMUI,JD(U),0,Graduate,"Rs 98,27,813",Rs 0
7725,Uday Pratap Singh,HOSHANGABAD,BJP,1,Graduate,"Rs 13,33,75,092","Rs 37,75,714"
7726,Uday Pratap Singh,HOSHANGABAD,IND,0,Graduate,"Rs 40,000",Rs 0
7727,Uday Singh Urf Pappu Singh,PURNIA,BJP,4,12th Pass,"Rs 1,46,63,64,723","Rs 12,31,00,000"
7728,Udayakumar S.p.,KANNIYAKUMARI,AAP,382,Doctorate,"Rs 5,20,80,000","Rs 2,97,000"
7729,Udayveer,GAUTAM BUDHHA NAGAR,Rashtriya Janta Party,0,Illiterate,"Rs 72,71,300","Rs 1,24,123"
7730,Uddhab Barman,BARPETA,CPI(M),0,Graduate Professional,"Rs 3,18,400",Rs 0
7731,Uddhavrao Balwant Gaikwad,SHIRDI,IND,0,5th Pass,"Rs 2,00,900",Rs 0
7732,Udhav Rangrao Pawar (patil),PARBHANI,IND,0,Graduate,"Rs 24,11,162","Rs 6,75,000"
7733,Udhaya Kumar .m,DINDIGUL,AIADMK,0,Post Graduate,"Rs 2,78,10,000","Rs 28,00,000"
7734,Udit Raj,NORTH WEST DELHI,BJP,1,Doctorate,"Rs 4,49,02,363",Rs 0
7735,Udyan Sharma,MATHURA,Peace Party,2,Graduate,"Rs 12,53,50,000","Rs 16,18,244"
7736,Ugle Ram Haribhau,JALNA,Rashtriya Sant Sandesh Party,0,10th Pass,"Rs 1,78,63,200",Rs 0
7737,Ujiyare Lal Dohare,ETAWAH,AAP,0,Post Graduate,"Rs 9,28,02,808","Rs 20,00,000"
7738,Ujjawal Kant Hunkar,HAJIPUR,Bharatiya Momin Front,0,Graduate,"Rs 1,05,000",Rs 0
7739,Ulaganathan .a,KANCHEEPURAM,IND,0,12th Pass,"Rs 4,18,000",Rs 0
7740,Ulhas Vasramji Jadhao,YAVATMAL WASHIM,IND,0,Graduate Professional,"Rs 53,94,200","Rs 8,50,000"
7741,Ullagi David Jaya Kumar,NANDYAL,AAP,0,Doctorate,"Rs 2,29,000","Rs 1,40,000"
7742,Uma Bharti,JHANSI,BJP,13,5th Pass,"Rs 1,43,76,218",Rs 0
7743,Uma Mageswari R.t.,RAMANATHAPURAM,CPI,0,12th Pass,"Rs 6,88,550","Rs 11,65,000"
7744,Uma Maheswara Rao Areti,VISAKHAPATNAM,IND,0,Post Graduate,"Rs 2,48,000",Rs 0
7745,Uma Nath Kole,DUMKA,IND,0,10th Pass,"Rs 3,50,527",Rs 0
7746,Uma Saren,JHARGRAM,AITC,0,Graduate Professional,"Rs 4,99,646",Rs 0
7747,Umadevi. M,BANGALORE SOUTH,SUCI(C),1,Post Graduate,"Rs 4,69,430",Rs 0
7748,Umakant,AMETHI,IND,0,Graduate,"Rs 1,81,862",Rs 0
7749,Umakant Rahi,NAWADA,Shoshit Samaj Dal,0,Post Graduate,"Rs 26,10,034",Rs 0
7750,Umakant Yadav,BANKA,Bahujan Mukti Party,0,Graduate Professional,"Rs 30,15,000",Rs 0
7751,Umang Singhar,DHAR,INC,0,Graduate,"Rs 2,70,03,369","Rs 7,10,226"
7752,Umarani S W/o Sivakumar,SALEM,IND,0,8th Pass,"Rs 7,30,000",Rs 0
7753,Umarani. S W/o Selvaraj,SALEM,DMK,0,Post Graduate,"Rs 1,35,71,624","Rs 9,63,005"
7754,Umashankar Tiwari,MAHARAJGANJ,IND,0,Graduate Professional,"Rs 9,61,700","Rs 25,000"
7755,Umed Singh,SHAHJAHANPUR,BSP,0,12th Pass,"Rs 10,15,02,333","Rs 14,04,515"
7756,Umed Singh,HISAR,IND,0,5th Pass,"Rs 2,52,50,500","Rs 3,00,000"
7757,Umed Singh,GURGAON,RASHTRIYA MORCHA PARTY,0,Others,"Rs 30,500",Rs 0
7758,Umedbhai L. Patel,DADRA AND NAGAR HAVELI,Bahujan Mukti Party,0,10th Pass,"Rs 1,30,000",Rs 0
7759,Umesh,DEORIA,Suheldev Bhartiya Samaj Party,0,8th Pass,"Rs 1,44,42,000",Rs 0
7760,Umesh Alies Pani,BIJNOR,IND,0,8th Pass,"Rs 5,45,918",Rs 0
7761,Umesh Arjun Kanchan,SHIRUR,IND,0,8th Pass,"Rs 91,000",Rs 0
7762,Umesh Bhujang Masankhamb,PUNE,IND,0,12th Pass,"Rs 28,50,400","Rs 12,50,000"
7763,Umesh Chandra Bharati,KHAGARIA,IND,0,Literate,"Rs 5,65,000",Rs 0
7764,Umesh Chandra Mehta,GIRIDIH,AJSU Party,1,Doctorate,"Rs 93,68,674","Rs 7,64,290"
7765,Umesh Gautam,BAREILLY,BSP,1,Doctorate,"Rs 10,33,18,000","Rs 3,95,30,000"
7766,Umesh Kumar,PATNA SAHIB,SP,0,Graduate,"Rs 14,15,000",Rs 0
7767,Umesh Kumar Verma,RAIPUR,IND,0,Post Graduate,"Rs 4,64,935",Rs 0
7768,Umesh Mukund Waghmare,SATARA,IND,0,8th Pass,"Rs 30,000",Rs 0
7769,Umesh Sonba Avhad,MUMBAI NORTH CENTRAL,Maharashtra Parivartan Sena (T),0,10th Pass,"Rs 50,000",Rs 0
7770,Unadakat Prakash Valabhadas,PORBANDAR,IND,0,10th Pass,"Rs 1,34,100",Rs 0
7771,Undru Gani Raju,AMALAPURAM,IND,1,Post Graduate,"Rs 31,721",Rs 0
7772,Unge Rambhau Kundlik,JALNA,IND,0,Post Graduate,"Rs 94,28,900","Rs 1,05,990"
7773,Upendra Chandra Das,SILCHAR,IND,0,8th Pass,"Rs 6,95,001",Rs 0
7774,Upendra Karmakar,JAMSHEDPUR,IND,0,5th Pass,"Rs 3,30,000",Rs 0
7775,Upendra Kushwaha,KARAKAT,Rashtriya Lok Samta Party,4,Post Graduate,"Rs 2,48,29,741","Rs 8,23,834"
7776,Upendra Nath,AURANGABAD,Bahujan Mukti Party,1,Post Graduate,"Rs 92,28,000",Rs 0
7777,Upendra Ram,HAJIPUR,IND,0,12th Pass,"Rs 2,56,500",Rs 0
7778,Upendra Ravidas,JAMUI,JMM,0,10th Pass,"Rs 42,12,80,000",Rs 0
7779,Upendra Singh,AGRA,INC,1,Post Graduate,"Rs 1,81,79,036","Rs 3,30,224"
7780,Upendra Singh,FIROZABAD,Bharatiya Kisan Parivartan Party,0,Graduate Professional,"Rs 13,96,180",Rs 0
7781,Upesh M. Baria,MUMBAI NORTH CENTRAL,IND,0,Post Graduate,"Rs 2,93,35,000",Rs 0
7782,Uppuleti Laxman,KARIMNAGAR,IND,0,5th Pass,"Rs 30,000",Rs 0
7783,Urkhao Gwra Brahma,KOKRAJHAR,IND,0,12th Pass,"Rs 77,66,195",Rs 0
7784,Urmila,SIDHI,CPI(ML) Red star,0,Graduate,"Rs 1,00,000",Rs 0
7785,Urmila,HAMIRPUR,SP,0,5th Pass,"Rs 22,30,000","Rs 42,000"
7786,Urmila,JHUNJHUNU,Megh Desham Party,0,Graduate,"Rs 3,53,000",Rs 0
7787,Usha Maurya,FATEHPUR,INC,0,12th Pass,"Rs 1,24,45,310","Rs 9,56,000"
7788,Usha Rani Verma,GURGAON,IND,0,Post Graduate,"Rs 58,21,000","Rs 9,17,021"
7789,Usha Sharan,AURANGABAD,Shoshit Samaj Dal,1,Literate,"Rs 39,00,000","Rs 1,000"
