Sno,Candidate?,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
264,AKHILESH,Ghosi,JPS,0,12th Pass,"Rs 2,31,000",Rs 0
265,AKHILESH PD. SINGH,Purvi Champaran,RJD,0,Doctorate,"Rs 3,34,64,000","Rs 27,69,000"
266,AKhilesh Singh,Nawada,IND,27,10th Pass,"Rs 7,62,287",Rs 0
267,AKHILESH YADAV,Kannauj,SP,0,Graduate Professional,"Rs 4,85,82,202","Rs 77,26,354"
268,AKHILESH YADAV,Firozabad,SP,0,Graduate Professional,"Rs 4,44,09,557","Rs 77,26,354"
269,AKHTAR,Aligarh,MUL,0,12th Pass,"Rs 15,22,000","Rs 2,07,700"
270,AKHTAR ANSARI,Ranchi,JVM(P),1,8th Pass,"Rs 76,42,446","Rs 8,97,990"
271,AKILENDRA KUMAR PATHAK,Gonda,IND,0,Graduate,"Rs 42,000",Rs 0
272,AKLU RAM MAHTO,Giridih,CPI,0,Post Graduate,"Rs 9,35,350",Rs 0
273,AKSHAY RAJKHOWA,Gauhati,NCP,0,12th Pass,"Rs 30,84,000","Rs 15,56,000"
274,Akshaya Kumar Mohanty,Bhubaneswar,BSP,0,Not Given,Nil,Rs 0
275,Akshaya Kumar Sethi,Jagatsinghpur,Samruddha Odisha,0,10th Pass,"Rs 1,90,000",Rs 0
276,AKSHAYBAR LAL,Bahraich,BJP,0,10th Pass,"Rs 1,04,17,400",Rs 0
277,AKUMARTHI SURYANARAYANA,Amalapuram,Trilinga Praja Pragati Party,0,5th Pass,"Rs 3,95,000",Rs 0
278,ALAGAAPURAM R MOHANRAJ,Salem,DMDK,0,12th Pass,"Rs 5,54,84,058","Rs 6,94,624"
279,ALAGAPPAN ARU.,Sivaganga,IND,0,Not Given,Nil,Rs 0
280,ALAGAPPAN PL,Sivaganga,IND,0,Not Given,Nil,Rs 0
281,ALAGIRI M.K,Madurai,DMK,0,Graduate,"Rs 19,39,78,895",Rs 0
282,ALAGIRI S,Cuddalore,INC,0,Graduate,"Rs 1,18,66,846","Rs 7,81,36,525"
283,ALAM MEHDI,Murshidabad,IND,0,Not Given,Nil,Rs 0
284,ALI M.SANDIMANI,Dharwad,IND,0,Not Given,"Rs 14,70,000","Rs 40,000"
285,Ali Raza,Berhampur,IND,0,Graduate,"Rs 11,58,000","Rs 8,00,000"
286,ALIMUDDIN ANSARI,Purnia,IND,0,10th Pass,"Rs 8,10,360",Rs 0
287,ALLABAX TIMMAPUR,Haveri,IND,0,12th Pass,"Rs 16,00,500","Rs 3,50,000"
288,ALLAPPA RAMAPPA PATIL,Belgaum,IND,0,10th Pass,"Rs 39,35,405","Rs 7,31,400"
289,ALLAPUREDDY. HARINATHA REDDY,Rajampet,BJP,0,Graduate Professional,"Rs 12,02,28,299","Rs 34,90,666"
290,ALLU ARAVIND,Anakapalle,PRAP,1,Graduate,"Rs 45,21,81,969","Rs 5,39,58,644"
291,ALLURI YUGANDHARA RAJU,Narsapuram,PPOI,0,Post Graduate,"Rs 16,85,000",Rs 0
292,Almellkar Vilasbabu Basalingappa,Bijapur,JD(S),0,12th Pass,"Rs 38,15,000","Rs 3,00,000"
293,ALNKRITA ABHIJIT AWADE-BICHUKALE,Satara,IND,0,Post Graduate,"Rs 25,500",Rs 0
294,ALOK JOSHI,Gwalior,IND,0,12th Pass,"Rs 2,10,600",Rs 0
295,ALOK KUMAR MEHTA,Ujiarpur,RJD,0,Graduate Professional,"Rs 1,00,22,148","Rs 59,561"
296,ALOK KUMAR SINGH,Rae bareli,IND,0,Post Graduate,"Rs 1,88,315","Rs 5,22,200"
297,ALOK PATHAK,Hooghly,IND,0,Graduate,"Rs 47,20,414","Rs 66,975"
298,ALOK SEN,Dhubri,SP,0,Graduate,"Rs 11,99,442",Rs 0
299,ALOK SINGH CHOTELAL,Kalyan,IND,0,10th Pass,"Rs 1,45,750",Rs 0
300,ALPANA GAUTAM,Aligarh,BSK,2,Post Graduate,"Rs 68,08,000",Rs 0
301,ALPESHBHAI KESHUBHAI VEKARIYA,Rajkot,MJP,0,Graduate,"Rs 10,08,903","Rs 20,79,532"
302,ALPESHSINH SURUBHA VAGHELA,Kheda,IND,4,12th Pass,"Rs 17,21,000","Rs 1,11,010"
303,ALTAF AHMAD EAKBAL AHMAD,Nanded,BBM,0,Graduate,"Rs 6,52,154",Rs 0
304,Altaf Ahmed Khan,Hyderabad,IND,0,10th Pass,"Rs 2,40,000",Rs 0
305,ALTAFBHAI VALIBHAI KORADIA,Surendranagar,IND,0,Illiterate,"Rs 8,58,650","Rs 4,42,000"
306,ALUR M.G. SWAMY,Davanagere,IND,0,Not Given,"Rs 32,00,000","Rs 70,000"
307,Aluri Vijaya Lakhsmi,Kakinada,LSP,0,Post Graduate,"Rs 2,50,98,100",Rs 0
308,ALVA MARGARET,Uttara Kannada,INC,0,Graduate Professional,"Rs 4,18,03,586",Rs 0
309,AMALESH MISHRA,Kanthi,BJP,0,Graduate Professional,"Rs 15,77,672","Rs 6,72,190"
310,AMALRAJ.M,Karur,IND,0,Not Given,"Rs 1,20,400",Rs 0
311,AMAN,Gorakhpur,Ambedkar Samaj Party,0,Literate,"Rs 10,22,380","Rs 2,80,478"
312,AMANULLA KHAN,Guntur,LSP,0,Literate,"Rs 90,000",Rs 0
313,AMAR DASS,East Delhi,IND,0,Not Given,"Rs 97,07,000","Rs 5,29,055"
314,AMAR MOHAMMAD,Gurgaon,IND,0,10th Pass,"Rs 11,25,000","Rs 90,000"
315,AMAR NATH JAISWAL,Faizabad,RTKP,0,Graduate,"Rs 32,86,769","Rs 5,16,000"
316,Amar Nath Prasad,Gaya,IND,0,Graduate,"Rs 13,02,900",Rs 0
317,AMAR SINGH,Bhopal,IND,0,5th Pass,"Rs 47,95,500",Rs 0
318,AMAR SINGH,Akbarpur,JPS,0,8th Pass,"Rs 6,15,000",Rs 0
319,AMARA RAM,Sikar,CPM,0,Post Graduate,"Rs 19,02,684",Rs 0
320,AMARDEEP BALASAHEB DESHMUKH,Buldhana,KM,4,10th Pass,"Rs 2,27,000",Rs 0
321,AMARISHBHAI RASIKLAL PATEL,Dhule,INC,0,8th Pass,"Rs 10,00,33,610","Rs 47,61,746"
322,AMARKANT SAH,Nalanda,RPP,0,Post Graduate,"Rs 92,470",Rs 0
323,AMARNATH,Anantapur,LSP,0,Graduate,"Rs 4,88,500",Rs 0
324,Amarnath Pradhan,Sambalpur,INC,0,Graduate,"Rs 43,25,000","Rs 4,66,494"
325,AMARNATH VERMA,Faizabad,IND,1,Graduate Professional,"Rs 8,358",Rs 0
326,AmarNathYadav,Siwan,CPI(ML)(L),8,Literate,"Rs 4,71,240","Rs 89,897"
327,AMARSINH RAMSINH THAKORE,Mahesana,MJP,0,12th Pass,"Rs 5,04,500",Rs 0
328,Amarsinh Vasantrao Patil,Belgaum,INC,0,Post Graduate,"Rs 4,04,95,119","Rs 2,56,964"
329,Amavas Ram,Karakat,IND,1,10th Pass,"Rs 20,000",Rs 0
330,Ambala Mahendar,Peddapalle,IND,0,5th Pass,Nil,Rs 0
331,Ambati Krishna Murthi,Secunderabad,IND,0,Not Given,"Rs 2,35,000","Rs 4,00,000"
332,AMBATI RAMA KRISHNA REDDY,Anantapur,BJP,0,Graduate Professional,"Rs 2,55,50,000","Rs 2,51,000"
333,AMBATI RAMESWARA REDDY,Nandyal,IND,0,Not Given,"Rs 7,00,000",Rs 0
334,AMBICA BANERJEE,Howrah,AITC,1,Graduate Professional,"Rs 6,29,26,674","Rs 72,33,333"
335,AMBIKA PRASAD,Lucknow,IND,0,Post Graduate,"Rs 39,49,407",Rs 0
336,AMBIKA SINGH,Valmiki Nagar,IND,1,Post Graduate,"Rs 1,05,00,000","Rs 1,00,000"
337,AMBRISH KUMAR,Hardwar,SP,2,Post Graduate,"Rs 2,77,76,400",Rs 0
338,AMBU BORA,Gauhati,RCPI(R),0,Others,"Rs 10,82,947",Rs 0
339,AMEER,Salempur,IND,0,12th Pass,"Rs 31,15,000",Rs 0
340,AMEERUDDIN,Kushi Nagar,IND,0,Graduate,Nil,Rs 0
341,Amerika Mahto,Aurangabad,Shoshit Samaj Dal,0,8th Pass,"Rs 5,15,000",Rs 0
342,Amina Khatun,Maldaha Uttar,IND,0,Graduate,"Rs 1,48,029",Rs 0
343,AMIT BARUA,Gauhati,IND,0,Not Given,"Rs 1,26,96,939","Rs 4,94,815"
344,AMIT KUMAR,Hamirpur,AD,0,12th Pass,"Rs 3,500",Rs 0
345,AMIT KUMAR,East Delhi,SP,0,10th Pass,"Rs 3,21,500",Rs 0
346,Amit Moitra,Medinipur,IND,0,Post Graduate,"Rs 9,74,700",Rs 0
347,AMIT PANDEY,Lucknow,IND,0,Post Graduate,"Rs 7,80,000",Rs 0
348,AMITA BAJPAI,Banda,BJP,0,Post Graduate,"Rs 85,92,000","Rs 3,00,000"
349,AMITA BHUSHAN,Begusarai,INC,0,Post Graduate,"Rs 24,70,296",Rs 0
350,AMITABHA SEN,Kolkata Uttar,IND,0,Doctorate,"Rs 65,72,032",Rs 0
351,AMITAVA BHATTACHARYA,Sreerampur,IND,3,Graduate,"Rs 24,766",Rs 0
352,AMITAVA NANDY,Dum Dum,CPM,0,12th Pass,"Rs 42,15,717",Rs 0
353,Amiya Kanta Mallik,Jajpur,INC,0,5th Pass,"Rs 1,17,40,000","Rs 19,80,000"
354,AMIYA KASHYAP (BIKKI),Begusarai,IND,0,Graduate,"Rs 2,12,200",Rs 0
355,Amlan Bhaduri,Maldaha Uttar,BJP,2,Post Graduate,"Rs 14,50,034",Rs 0
356,AMOL DEVIDASRAO JADHAV,Amravati,IND,0,Literate,Nil,Rs 0
357,AMRESH MISHRA,Lucknow,IND,0,Post Graduate,"Rs 11,05,000",Rs 0
358,AMRESHWAR KUMAR,Banka,JGP,0,Graduate,"Rs 2,47,490",Rs 0
359,AMRIK SINGH,Patiala,RSP,0,Not Given,"Rs 28,05,000",Rs 0
360,AMRISHBHAI VADILAL DAVE,Anand,IND,0,10th Pass,"Rs 90,000",Rs 0
361,Amrit Hansda,Jhargram,INC,0,12th Pass,"Rs 25,11,912",Rs 0
362,Amrit Singh Maravi,Surguja,IND,0,12th Pass,"Rs 3,21,000","Rs 60,000"
363,Amrit Tirkey,Raigarh,IND,0,8th Pass,"Rs 5,17,000",Rs 0
364,AMRITLAL PATHAK RAGHUVAR,Chhindwara,IND,0,12th Pass,"Rs 20,99,500",Rs 0
365,AMRUTBHAI LAKHUBHAI FOSI,Banaskantha,MJP,1,Literate,"Rs 90,12,700","Rs 2,00,000"
366,AMRUTHAPPA.M.D,Bidar,IND,0,12th Pass,Nil,"Rs 1,25,000"
367,Amulya Ratan Mahato,Purulia,IND,0,Graduate,"Rs 3,70,000",Rs 0
368,Anadi Sahu,Cuttack,BJP,0,Graduate,"Rs 43,43,000","Rs 3,00,000"
369,Anand Gautam,Durg,IND,0,Graduate,"Rs 1,76,327",Rs 0
370,ANAND JADHAV HOTALKAR,Nanded,IND,0,Post Graduate,"Rs 6,57,000",Rs 0
371,ANAND K,Madurai,IND,0,12th Pass,"Rs 1,63,025",Rs 0
372,ANAND KUJUR,Khunti,IND,0,Not Given,"Rs 15,63,100",Rs 0
373,ANAND KUMAR,Gwalior,IND,0,8th Pass,"Rs 5,00,000",Rs 0
374,ANAND KUMAR AMBASTHA,Varanasi,IND,0,Others,"Rs 59,346","Rs 20,752"
375,ANAND PRAKASH,Garhwal,UKKD,0,Graduate,"Rs 1,01,07,000","Rs 2,50,000"
376,ANAND PRAKASH PARANJAPE,Kalyan,SHS,1,Post Graduate,"Rs 1,19,98,220","Rs 38,71,225"
377,ANAND RAM,Bharatpur,IND,0,Literate,"Rs 20,000",Rs 0
378,Anand Ram Gilhare,Janjgir-Champa,IND,0,Not Given,Nil,Rs 0
379,ANAND SINGH KUSHWAH RAMAYNE,Gwalior,IND,0,8th Pass,"Rs 5,000","Rs 12,000"
380,ANAND YADAV,Banda,UCPI,0,Graduate Professional,"Rs 12,80,000",Rs 0
381,Ananda Gatty,Dakshina Kannada,IND,0,Graduate Professional,"Rs 13,97,499","Rs 1,07,000"
382,ANANDAN M,Viluppuram,ADMK,0,12th Pass,"Rs 89,38,646","Rs 9,67,994"
383,ANANDAN P,Viluppuram,IND,0,10th Pass,"Rs 13,500",Rs 0
384,ANANDAN.P,Tiruvallur,BSP,0,Graduate Professional,"Rs 47,42,495","Rs 3,85,040"
385,ANANDARAJ N,Tirunelveli,IND,0,Literate,"Rs 25,000",Rs 0
386,ANANDARAJ.G,Chennai North,IND,0,5th Pass,"Rs 15,000",Rs 0
387,ANANDBHAI KESHAVBHAI MAKWANA,Surat,IND,1,Illiterate,"Rs 69,000",Rs 0
388,ANANDHADASS C,Kallakurichi,LJP,0,10th Pass,"Rs 60,300",Rs 0
389,ANANDHU.K,Chennai North,LJP,0,Graduate Professional,"Rs 10,90,000",Rs 0
390,ANANDKUMAR. K,Dharmapuri,IND,0,8th Pass,"Rs 4,20,000",Rs 0
391,ANANT,Ballia,IND,0,Post Graduate,"Rs 80,30,000",Rs 0
392,ANANT GEETE,Raigad,SHS,1,10th Pass,"Rs 85,55,617",Rs 0
393,Ananta Nayak,Keonjhar,BJP,0,12th Pass,"Rs 15,36,306","Rs 6,28,045"
394,Ananta Prasad Sethi,Bhadrak,INC,0,Graduate,"Rs 58,13,911","Rs 4,43,285"
395,Ananth Kumar,Bangalore South,BJP,0,Graduate Professional,"Rs 1,22,06,366",Rs 0
396,ANANTHA RAJA.V,Tiruchirappalli,IND,1,Graduate,"Rs 27,28,000","Rs 2,00,850"
397,ANANTHA VENKATA RAMI REDDY,Anantapur,INC,0,Post Graduate,"Rs 1,30,15,000",Rs 0
398,Ananthagopan,Pathanamthitta,CPM,2,Not Given,"Rs 29,42,277",Rs 0
399,Ananthkumar Hegde,Uttara Kannada,BJP,3,12th Pass,"Rs 64,27,192","Rs 39,55,458"
400,ANAR SINGH,Hathras,SP,0,10th Pass,"Rs 6,02,40,500","Rs 2,03,00,000"
401,ANBALAGAN V,Viluppuram,IND,0,10th Pass,"Rs 28,550",Rs 0
402,ANBARASAN. D.,Krishnagiri,DMDK,0,Post Graduate,"Rs 1,49,57,001","Rs 46,47,180"
403,ANBURAAJ.R.K.,Kancheepuram,IND,0,10th Pass,"Rs 1,08,000",Rs 0
404,Anchan Khanna,Bangalore North,IND,0,Post Graduate,"Rs 3,40,000",Rs 0
405,ANDHRAPRAKASH A,Salem,PPOI,0,Graduate,"Rs 82,15,982",Rs 0
406,ANEES HUSSAIN.H,Chennai Central,IND,0,Graduate,"Rs 14,50,000",Rs 0
407,Angadi Suresh Channabasappa,Belgaum,BJP,2,Graduate Professional,"Rs 22,17,34,263","Rs 4,33,92,842"
408,ANGARSHA SALIM BABULAL,Osmanabad,IND,0,Doctorate,"Rs 21,13,000",Rs 0
409,ANIL,Sultanpur,RPI(A),0,Graduate,"Rs 24,18,051","Rs 25,25,000"
410,ANIL,Kushi Nagar,RPI(A),0,Not Given,"Rs 8,30,000",Rs 0
411,ANIL,Ghazipur,IND,0,12th Pass,"Rs 18,71,000","Rs 65,000"
412,ANIL,Amroha,IND,2,Graduate,"Rs 1,40,000",Rs 0
413,ANIL ANNA GOTE,Dhule,LKSGM,9,Others,"Rs 25,28,801","Rs 31,50,369"
414,Anil Biswas,Raiganj,IND,0,Literate,Nil,Rs 0
415,ANIL CHAUDHARY,Begusarai,LJP,0,12th Pass,"Rs 8,66,519","Rs 6,00,000"
416,ANIL DWIVEDI,Guna,IND,0,Not Given,"Rs 6,25,000",Rs 0
417,ANIL GUPTA,Chandni Chowk,BPC,0,10th Pass,"Rs 1,75,000",Rs 0
418,ANIL KAUSHIK,Bhiwani-Mahendragarh,NCP,1,Post Graduate,"Rs 3,31,71,991","Rs 1,70,184"
419,ANIL KISHORE,Kheri,Lok Dal,0,12th Pass,"Rs 6,48,000",Rs 0
420,ANIL KUMAR,Gautam Budhha Nagar,IND,0,10th Pass,"Rs 7,25,000",Rs 0
421,ANIL KUMAR,Hamirpur,Ambedkar Samaj Party,0,10th Pass,"Rs 2,50,000",Rs 0
422,ANIL KUMAR,Gopalganj,RJD,0,Graduate,"Rs 52,38,958","Rs 1,20,000"
423,Anil Kumar,Mavelikkara,IND,0,Graduate,"Rs 1,51,000",Rs 0
424,ANIL KUMAR ALIAS ANIL BHARGAV,Misrikh,BJP,1,Post Graduate,"Rs 64,48,396","Rs 3,97,400"
425,ANIL KUMAR ALIAS ANIL GUPTA,Banka,JVM(P),0,8th Pass,"Rs 19,02,000","Rs 2,00,000"
426,ANIL KUMAR BHARTI,Purnia,RVNP,0,Not Given,"Rs 57,30,000",Rs 0
427,ANIL KUMAR GAUTAM,New Delhi,IND,3,8th Pass,"Rs 2,74,498",Rs 0
428,ANIL KUMAR JAIN,Kanpur,IND,0,Post Graduate,"Rs 17,76,623","Rs 2,16,292"
429,ANIL KUMAR MAURYA,Rae bareli,AD,2,Not Given,"Rs 20,000",Rs 0
430,ANIL KUMAR MAURYA,Mirzapur,BSP,0,Post Graduate,"Rs 1,58,52,990",Rs 0
431,Anil Kumar Singh,Aurangabad,RSWD,0,Graduate,"Rs 1,43,75,000","Rs 2,45,000"
432,ANIL KUMAR SRIVASTAWA@AKELA,Firozabad,JPS,0,Graduate Professional,"Rs 7,37,020",Rs 0
433,ANIL KUMAR SUBHASH,Meerut,IND,2,Post Graduate,"Rs 16,00,000",Rs 0
434,ANIL PITAMBAR WAGH (SIR),Jalgaon,IND,0,Post Graduate,"Rs 22,000",Rs 0
435,ANIL RAJA,Nowgong,INC,0,Graduate,"Rs 62,56,259","Rs 15,72,269"
436,ANIL SHIROLE,Pune,BJP,0,Not Given,Nil,Rs 0
437,ANIL SHUKLA WARSI,Akbarpur,BSP,2,Graduate,"Rs 1,44,42,392","Rs 1,97,64,684"
438,ANIL SINGH,Amritsar,RSP,0,12th Pass,"Rs 50,000",Rs 0
439,ANIL SINGH,Nalanda,LTSD,0,Graduate,"Rs 66,11,312","Rs 1,99,437"
440,ANIL SINGH,Bhopal,IND,0,Graduate,"Rs 3,00,000",Rs 0
441,ANILKUMAR BRIJENDRABHAI SHARMA,Ahmedabad East,IND,0,Graduate,"Rs 3,32,000",Rs 0
442,ANILKUMAR SOMABHAI MAKWANA,Gandhinagar,IND,3,Literate,"Rs 2,88,985",Rs 0
443,AnilMehta,Nawada,IND,12,Graduate,"Rs 49,31,596","Rs 2,62,669"
444,ANIMESH NASKAR,Mathurapur,CPM,0,Post Graduate,"Rs 1,29,543","Rs 43,600"
445,ANIRUDH PRASAD ALIAS SADHU YADAV,Paschim Champaran,INC,5,Graduate,"Rs 1,23,10,143","Rs 64,800"
446,ANIS AHMAD ANSARI,North East Delhi,SP,0,Not Given,"Rs 59,68,000","Rs 3,100"
447,ANISUR RAHAMAN SARKAR,Murshidabad,CPM,0,Post Graduate,"Rs 45,92,372",Rs 0
448,ANITA HITENDRA CHOUDHARY,Morena,BHBP,0,12th Pass,"Rs 2,05,000",Rs 0
449,ANITA RAMKRUSHAN RUPAWATE,Mumbai North West,IND,0,Literate,"Rs 7,000",Rs 0
450,ANJAN KUMAR YADAV,Secunderabad,INC,0,12th Pass,"Rs 2,06,20,697","Rs 15,00,000"
451,ANJANA WALIA,Tehri Garhwal,RJSD,0,Post Graduate,"Rs 27,37,35,000",Rs 0
452,ANJANI KUMAR,Patna Sahib,IND,0,Post Graduate,"Rs 30,95,000",Rs 0
453,ANJANI PANDEY,Ranchi,IND,0,Graduate Professional,"Rs 10,000",Rs 0
454,ANJU,Sant Kabir Nagar,IND,0,12th Pass,"Rs 4,88,300",Rs 0
455,ANJU ASHOK UIKEY,Balaghat,IND,0,12th Pass,"Rs 16,92,594","Rs 81,000"
456,ANJULA NAGPAL,Amroha,IND,0,Graduate,"Rs 26,12,50,266",Rs 0
457,ANNADURAI M,Salem,Akila India Vallalar Peravai,0,Not Given,"Rs 5,000",Rs 0
458,ANNADURAI. K,Dharmapuri,UMK,0,Not Given,"Rs 1,00,000",Rs 0
459,ANNADURAI. V.M,Karur,IND,0,Graduate Professional,"Rs 20,000",Rs 0
460,"ANNALAKSHMI, S.",Perambalur,IND,0,5th Pass,"Rs 4,50,000",Rs 0
461,ANNAMALAI K,Tirunelveli,ADMK,1,10th Pass,"Rs 10,44,94,900","Rs 50,00,000"
462,ANNAMALAI S C,Arakkonam,Akila India Vallalar Peravai,0,Literate,"Rs 1,40,000",Rs 0
463,ANNAMRAJU VENUGOPALA MADHAVA RAO,Narasaraopet,IND,0,Graduate Professional,"Rs 2,10,000",Rs 0
464,ANNAYYAGARI SAI PRATHAP,Rajampet,INC,0,12th Pass,"Rs 62,33,245","Rs 6,05,031"
465,ANNUTANDON,Unnao,INC,1,Graduate,"Rs 42,13,52,753",Rs 0
466,ANOKHI LAL,Kaiserganj,IND,0,Literate,"Rs 1,20,500",Rs 0
467,ANOOP KUMAR,Mirzapur,IND,0,Post Graduate,"Rs 76,700",Rs 0
468,Anoop Minj,Surguja,JMM,0,Post Graduate,Nil,Rs 0
469,ANOOP SINGH,Karnal,IND,0,10th Pass,"Rs 20,50,000","Rs 7,00,000"
470,ANSARI MOHD. ISMAIL MOHD. IBRAHIM,Dhule,BMSM,0,Graduate,"Rs 11,62,950",Rs 0
471,ANSARI SHABBIR AHEMED,Sangli,IND,0,Graduate,"Rs 10,000",Rs 0
472,ANSH DHARI,Banda,IND,0,Others,"Rs 17,01,000",Rs 0
473,ANSHU MAN SINGH (ADVOCATE),Fatehpur,IND,0,Post Graduate,"Rs 3,57,000",Rs 0
474,Anto,Pathanamthitta,IND,0,Graduate,"Rs 3,503","Rs 20,979"
475,Anto Antony,Pathanamthitta,INC,0,Graduate,"Rs 14,24,205","Rs 17,06,713"
476,Anto P John,Kottayam,IND,0,Graduate,"Rs 1,00,20,590","Rs 5,00,000"
477,Anuj Dhritlahre,Bilaspur,IND,0,5th Pass,"Rs 17,96,000","Rs 1,36,500"
478,ANUP,Hisar,IND,0,Doctorate,"Rs 7,26,000","Rs 62,000"
479,ANUP KUMAR SAHA,Bardhaman Purba,CPM,0,Post Graduate,"Rs 74,72,944",Rs 0
480,ANUP SINGH,Rohtak,IND,0,10th Pass,"Rs 25,21,800","Rs 25,000"
481,ANUPAM MISHRA,Lucknow,SWPI,0,Graduate,"Rs 14,52,714","Rs 1,25,867"
482,ANUPAM SHARMA,Badaun,IND,0,Not Given,"Rs 25,000","Rs 3,500"
483,ANUPAM VERMA,Kheri,AD,0,Not Given,"Rs 6,46,300",Rs 0
484,ANURADHA CHAUDHARY,Muzaffarnagar,RLD,0,Graduate,"Rs 7,98,70,000",Rs 0
485,ANURADHA PATEL,Gonda,IND,0,Literate,"Rs 19,90,044",Rs 0
486,ANURAG SINGH,Mirzapur,BJP,0,Post Graduate,"Rs 1,62,97,500",Rs 0
487,ANURAG SINGH THAKUR,Hamirpur,BJP,0,Graduate,"Rs 2,41,50,103","Rs 25,04,550"
488,ANVER SINGH,Etawah,IND,0,10th Pass,"Rs 10,47,600",Rs 0
489,ANWAR AHMED,Ghaziabad,NBNP,1,Not Given,"Rs 32,06,73,000",Rs 0
490,ANWAR HUSSAIN,Dhubri,INC,0,Graduate Professional,"Rs 12,85,167","Rs 6,79,449"
491,Apparao Golagana,Visakhapatnam,IND,0,Graduate Professional,"Rs 77,50,000","Rs 5,25,000"
492,APPAS.K.S,Pollachi,IND,0,5th Pass,"Rs 41,000",Rs 0
493,APPAYYAGOUDA BASAGOUDA PATIL,Belgaum,JD(S),0,Graduate Professional,"Rs 2,11,61,000","Rs 2,00,000"
494,ARABINDA HALDER,Jaynagar,BSP,0,Graduate,"Rs 8,93,000",Rs 0
495,ARABINDA SEN,Hooghly,SP,0,Graduate Professional,"Rs 1,37,19,600",Rs 0
496,ARAK ASHOK VIKRAM,Latur,KM,0,Graduate,"Rs 26,90,000","Rs 7,00,000"
497,ARAKERI NIRMALA SRINIVAS,Bijapur,IND,0,Post Graduate,"Rs 2,00,000",Rs 0
498,ARASAKUMAR.M.S,Chennai Central,IND,0,Graduate Professional,"Rs 48,000",Rs 0
499,ARBIND KUMAR,Supaul,IND,0,Post Graduate,"Rs 70,12,200",Rs 0
500,Arbind prasad singh,Jahanabad,IND,0,Post Graduate,"Rs 46,35,000",Rs 0
501,Archana Nayak,Bhubaneswar,BJP,0,Post Graduate,"Rs 5,45,000","Rs 3,25,000"
502,Arghya Roy Pradhan,Coochbehar,AITC,0,Graduate,"Rs 4,02,858",Rs 0
503,ARIF AHMED SHAIKH JAFHAR,Dhule,NBNP,0,8th Pass,"Rs 80,000",Rs 0
504,ARIF SIKANDAR URF RAJU MIAN,Rampur,IND,0,5th Pass,"Rs 30,000",Rs 0
505,ARIMAZHAM THIYAGI SUBRAMANIAN MUTHARAIYAR M,Sivaganga,IND,0,Not Given,Nil,Rs 0
506,ARIRAJ T.V,Arani,SP,0,10th Pass,Nil,Rs 0
507,ARIUDAI NAMBI D,Vellore,IND,0,12th Pass,Nil,Rs 0
508,ARIVALAGAN S,Mayiladuthurai,IND,0,Not Given,"Rs 25,000",Rs 0
509,ARIVAZHAGAN. P,Dharmapuri,IND,0,12th Pass,"Rs 25,75,000",Rs 0
510,ARIVUDAINAMBI.N,Chennai Central,IND,0,12th Pass,"Rs 15,000",Rs 0
511,Arjun Bhagat,Lohardaga,IND,0,Post Graduate,"Rs 93,01,322",Rs 0
512,Arjun Charan Sethi,Bhadrak,BJD,0,Post Graduate,"Rs 1,10,61,000","Rs 25,00,000"
513,ARJUN LAL,Dhaurahra,CPI(ML)(L),0,Graduate,"Rs 57,500",Rs 0
514,ARJUN MANJHI,Jamui,JGP,0,8th Pass,"Rs 3,10,000",Rs 0
515,ARJUN MUNDA,Jamshedpur,BJP,2,Graduate Professional,"Rs 1,23,84,895","Rs 1,76,069"
516,ARJUN PUJHAR,Dumka,SP,0,Not Given,"Rs 6,77,433","Rs 6,112"
517,ARJUN RAM MEGHWAL,Bikaner,BJP,0,Post Graduate,"Rs 25,63,467",Rs 0
518,ARJUN ROY,Sitamarhi,JD(U),0,Doctorate,"Rs 29,07,146","Rs 4,62,913"
519,ARJUN SAHA,Bolpur,BJP,0,Graduate,"Rs 30,52,000","Rs 2,52,110"
520,ARJUN SAHNI,Ujiarpur,IND,0,8th Pass,"Rs 49,36,250",Rs 0
521,Arjun Shrivas Ganguaa,Bilaspur,IND,0,Not Given,"Rs 43,500",Rs 0
522,ARJUNBHAI BHALJIBHAI CHAUDHARY,Bardoli,IND,0,Graduate,"Rs 12,000",Rs 0
523,ARLENE N. SANGMA,Tura,IND,0,Graduate,"Rs 14,30,000","Rs 2,00,000"
524,AROKIYADOSS C,Cuddalore,BSP,0,Others,"Rs 4,75,000",Rs 0
525,AROON BAROOA,Mangaldoi,IND,0,Graduate,"Rs 4,72,000",Rs 0
526,ARORA RAKESH VISHWANATH,Mumbai North Central,IND,5,10th Pass,"Rs 27,59,000",Rs 0
527,ARSHAD JAMAL ANSARI,Ghosi,SP,0,Post Graduate,"Rs 24,65,633",Rs 0
528,ARSHAD ULLA SHARIFF,Mysore,BPJP,0,Not Given,"Rs 2,99,00,000",Rs 0
529,ARTI BEHRA,Ranchi,IND,0,10th Pass,"Rs 2,80,000",Rs 0
530,ARUL THUMILAN .D,Kanniyakumari,LJP,0,Graduate Professional,"Rs 3,75,000",Rs 0
531,"ARULMANI,C.",Perambalur,Akila India Vallalar Peravai,0,Literate,"Rs 12,40,000",Rs 0
532,ARULRAJKUMAR. R,Karur,IND,0,Graduate Professional,"Rs 96,000",Rs 0
533,ARUMUGAM A.A,Tiruvannamalai,IND,0,10th Pass,"Rs 60,95,500",Rs 0
